Have you developed a game?,What region are you based?,Where are you located?,What platforms do you build for?,What is the primary engine you use in developing games?,What category of games do you mostly create?,Which of these best describe you?,How long have you been operating?,How many employees do you have?,What percentage of your employees reside outside your main country of operation?,What is the ratio of male to female in your organisation?,"To date, how many games do you have published?",Which of these core competences do you have in your teams?,What was your 2022 revenue?,What are your sources of revenue?,What percentage of your revenue comes from outside your country of operation?,What's your gender?,What's your age group?,How long have you been making games?,Is game development a full time occupation for you?,"If you work at a game studio, where is the studio located?","To date, how many games do you have published?",Which of these core competences do you possess?,Do you earn any income from making games?,What is your main source of income?,What percentage of your income comes from outside your country of residence?,Have you ever raised external funding?,"If yes, from what source? Select all that apply.",How much external funding have you raised?,Have you applied for or participated in any accelerator or support programme?,Were you successful?,Please list the ones you applied to below even if you were not successful.,Did you or your studio attend any international gaming events?,"If yes, please name some of the gaming events you've attended",How important are the following to the development of the games industry in your country? [Power supply],How important are the following to the development of the games industry in your country? [High speed internet],How important are the following to the development of the games industry in your country? [Affordable internet],How important are the following to the development of the games industry in your country? [Training opportunities],How important are the following to the development of the games industry in your country? [Community events],How important are the following to the development of the games industry in your country? [Co-working space],How important are the following to the development of the games industry in your country? [Industry associations],How important are the following to the development of the games industry in your country? [Mobile network operators (like MTN or Safaricom)],How important are the following to the development of the games industry in your country? [Alternative payment methods (like mobile money)],How important are the following to the development of the games industry in your country? [Government support],How would you rate the current state of these infrastructure in your country? [Power supply],How would you rate the current state of these infrastructure in your country? [High speed internet],How would you rate the current state of these infrastructure in your country? [Affordable internet],How would you rate the current state of these infrastructure in your country? [Training opportunities],How would you rate the current state of these infrastructure in your country? [Community events],How would you rate the current state of these infrastructure in your country? [Co-working space],How would you rate the current state of these infrastructure in your country? [Industry associations],How would you rate the current state of these infrastructure in your country? [Mobile network operators (like MTN or Safaricom)],How would you rate the current state of these infrastructure in your country? [Alternative payment methods (like mobile money)],How would you rate the current state of these infrastructure in your country? [Government support],What is your outlook for the African games industry in the next 3 years?,What type of support does the industry need to succeed?,"Please leave us a comment, this can be something specific to your market that we have not captured.", , , , , , 
"Yes, I/we have developed game(s)",Southern Africa,"Cape Town, South Africa","Mobile, PC",Unity,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,25 - 34,1 - 2 years,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Art (2D/3D, Game Design","No, I don't","I have a full time developer job, after hours I work on my game projects","Zero, I earn all my income from my country of residence",No,,,Yes,No,Applied for Crazy Labs Cape town,"No, I haven't",,Very Important,Very Important,Very Important,Critical,Critical,Important,Critical,Unimportant,Unimportant,Unimportant,Really Poor,Good,Good,Poor,Good,Good,Good,Good,Good,Really Poor,3,"I think the community is really great and trying hard to create opportunities for the members,  obviously the amount of members that are looking for jobs in the industry that can sustain their day to day lives are high but the amount of jobs available are limited. Members are staying active and improving their own skills and starting studios of their own but rent is due and the cost of living is high, thus one requires a source of income and it's not always possible to get into the industry to do the things we so love and cherish.","Amount of failed studio startups, and what support or skills needed for these to succeed",,,,,,
"Yes, I/we have developed game(s)",North Africa,Tunis,Mobile,Unity,"Serious/Educational Games, Kids Games",Game studio,Over 10 years,5 - 10,5 - 25%,60% female,1 - 5,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Audio, Animation, AR/VR",$50k - $100k,"Building third party games, Work for hire",5 - 25%,,,,,,,,,,,Yes,Grant funding from international agency,$50k - $100k,Yes,Yes,"CDL tunisia & Africa Game Co-Production Marketplace by SpeilFabrique,","No, I haven't",,Important,Important,Important,Very Important,Very Important,Important,Critical,Critical,Critical,Critical,Good,Good,Good,Good,Poor,Poor,Really Poor,Really Poor,Really Poor,Really Poor,3,Financial & international market Access ,,,,,,,
"Yes, I/we are developing a game",East Africa,"Nairobi, Kenya","PC, Console",Unreal,Entertainment Games,Freelancer on game projects,,,,,,,,,,Male,25 - 34,2 - 5 years,"No, I develop games in my spare time","Nairobi, Kenya",None,Art (2D/3D,"Yes, I do",Building third party games,50 - 75%,Yes,Grant funding from international agency,Less than $10K,No,,,"Yes, I have",Africa Games Week,Critical,Very Important,Very Important,Very Important,Very Important,Very Important,Critical,Important,Very Important,Very Important,Good,Good,Good,Poor,Good,Very Good,Poor,Good,Very Good,Poor,4,Funding and Training,,,,,,,
"Yes, I/we are developing a game",West Africa,"Lagos, Nigeria",Mobile,Unity,"Entertainment Games, Serious/Educational Games",Game studio,2 - 5 years,1 - 5,0%,Male 75%,None,"Development/Programming, UI/UX",Less than $1k,Revenue from games,"Zero, all our revenue comes from our country of operation",,,,,,,,,,,Yes,University hubs,$10k - $50k,Yes,No,"AGCM by spielfabrique, African Game Prototype Development Fund, Bright gambit, Xbox.id","No, I haven't",No,Critical,Critical,Critical,Critical,Very Important,Very Important,Important,Very Important,Very Important,Important,Poor,Good,Good,Poor,Good,Good,Good,Good,Good,Poor,4,More infrastructure and more prototype funding,,,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nairobi, Kenya",Mobile,Phaser,Serious/Educational Games,Game studio,2 - 5 years,20 - 50,0%,"Male 75%, Female 25%",20 - 50,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Audio, Animation",$250k - $500k,"Building third party games, Revenue from games, Licensing games to 3rd parties",50 - 75%,,,,,,,,,,,Yes,"Investors, Grant funding from international agency",Over $1m,No,Yes,,"Yes, I have","Africa Games Week, GDC",Important,Very Important,Critical,Critical,Very Important,Very Important,Important,Critical,Critical,Very Important,Good,Very Good,Good,Good,Very Good,Very Good,Poor,Good,Good,Poor,4,"increase of ad CPM's in Africa for ad-supported local games, increase affordable training opportunities for local talent, import experienced industry mentors to work with the younger talent coming up, investment in studios to create financial freedom to experiment and produce new titles, recurring subscription billing payment options that are not 50% commission via telco airtime.","Thank you for doing this survey, it's a great initiative and I'm sure will help shape and grow the industry",,,,,,
"Yes, I/we are developing a game",West Africa,"Ouagadougou, Burkina Faso","Mobile, PC, Console",Unreal,Tycoon,Hobby/Part time game developer,,,,,,,,,,Male,25 - 34,Less than a year,"No, I develop games in my spare time",,None,"Development/Programming, Art (2D/3D, UI/UX, Animation","No, I don't",Work for hire as a freelancer,"Zero, I earn all my income from my country of residence",No,,,No,,,"No, I haven't",,Very Important,Critical,Critical,Critical,Very Important,Very Important,Very Important,Important,Important,Very Important,Poor,Poor,Poor,Really Poor,Really Poor,Poor,Really Poor,Poor,Good,Really Poor,3,"To succeed, the industry needs financial support (because game development takes time, and requires considerable resources for management during development), and also training (given the wide range of profiles and skills needed, and the inaccessibility of such training in our countries, either because of high costs, or the lack of infrastructure to do so)
Traduit avec DeepL https://www.deepl.com/app/?utm_source=android&utm_medium=app&utm_campaign=share-translation",,,,,,,
"Yes, I/we are developing a game",East Africa,"Kampala, Uganda",Console,Unreal,Entertainment Games,Game studio,2 - 5 years,1 - 5,0%,Female 2%,None,"Art (2D/3D, Game Design, Animation",$1k - $5k,Revenue from games,50 - 75%,,,,,,,,,,,Yes,"Investors, Grant funding from international agency",$100k - $500k,Yes,Yes,Humble Games black game developer fund,"No, I haven't",,Critical,Critical,Very Important,Critical,Very Important,Important,Important,Important,Very Important,Important,Good,Poor,Poor,Really Poor,Poor,Good,Really Poor,Good,Good,Really Poor,3,All the above,It takes a village...,,,,,,
"Yes, I/we are developing a game",Southern Africa,"Cape Town, South Africa","PC, Console, Mac",RenPy,Entertainment Games,Game studio,5 - 10 years,10 - 20,0%,"Female 45%, Male 18%, Non Binary 36% ",5 - 10,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Audio, Animation, Vfx, QA",$1k - $5k,Revenue from games,75 - 100%,,,,,,,,,,,Yes,Investors,$100k - $500k,No,No,,"Yes, I have","A MAZE, Playtopia",Critical,Critical,Critical,Unimportant,Critical,Important,Unimportant,Important,Unimportant,Unimportant,Really Poor,Poor,Really Poor,Poor,Good,Really Poor,Really Poor,Poor,Really Poor,Really Poor,3,"Would love to see more African publishers, platforms that are dedicated to sharing African games, and support from international platforms like Steam.",,,,,,,
"Yes, I/we are developing a game",Southern Africa,"Johannesburg, South Africa","PC, Console",Unity,Entertainment Games,Employee at a games studio,,,,,,,,,,Female,25 - 34,Less than a year,I am a full time community manager at an indie game studio,Cape Town,None,Community/Social Media Management,"Yes, I do",Salary from my job as a CM,"Zero, I earn all my income from my country of residence",Yes,,,Yes,Yes,ID@Xbox Developer Acceleration Program,"No, I haven't",We will be going to Gamescom in August,Critical,Very Important,Very Important,Very Important,Critical,Important,Important,Very Important,Important,Very Important,Really Poor,Good,Poor,Poor,Poor,Good,Poor,Good,Good,Poor,3,"Assistance in actually GETTING to events. It's one thing to be accepted as an exhibitor or a speaker, etc. but considering that we're at the ass end of the world a flight usually costs more than accommodation for the trip. Making actually attending the events everyone says you should to be successful nearly impossible. At best you can afford to go to 1 event on your own dime once every 5 years since money can be scarce this side.

I guess the solution there would be to also have more African based events that would make the international crowd come HERE but we all know they'd find an excuse not to come to Africa. It's too 'dangerous'.

And also, lastly, the local industry needs to realise that we are not taking success away from one another. A rising tide raises all ships. So if one of us succeeds (eg. Free Lives) we all benefit from it because now people are thinking ""what other (South) African games are there to be played?"". I do find it hard to actually locate ZA games on the market since the people/studios behind them seem to try and hide the fact that they're from a 3rd world country. Maybe having that ambiguity helps them sell their games? I don't know, I think being from Africa and helping blaze a trail for future game devs to walk is something to be proud of.

So, basically more local support! We're the 2nd biggest continent for heaven's sake.","I see there was a lack of marketing related roles on your lists. I know that's still something that's emerging here, since a lot of Devs are their own marketing depts, too. But it does make me feel a bit disconnected, like the community manager isn't really part of the game dev team. Which I know is not your intention, so no hard feelings. Just raising it from my POV!",,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Lusaka, Zambia","Mobile, PC",Unity,"Entertainment Games, Serious/Educational Games",Indie/solo developer,,,,,,,,,,Prefer not to say,25 - 34,2 - 5 years,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Art (2D/3D, Game Design, Animation, Vfx, AR/VR","No, I don't",Work in other industries,75 - 100%,No,,,Yes,No,,"Yes, I have",GDC,Important,Critical,Critical,Critical,Important,Unimportant,Unimportant,Unimportant,Critical,Critical,Good,Poor,Really Poor,Really Poor,Good,Good,Really Poor,Good,Really Poor,Really Poor,2,Community and training,,,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Pretoria, South Africa","PC, Web",Godot,"Entertainment Games, Serious/Educational Games",Indie/solo developer,,,,,,,,,,Male,18 - 24,2 - 5 years,Game Development student,,1 - 5,"Development/Programming, Game Design, UI/UX, Narrative","No, I don't",Student jobs,5 - 25%,No,,,No,,,"No, I haven't",,Critical,Very Important,Critical,Very Important,Critical,Important,Very Important,Unimportant,Important,Unimportant,Really Poor,Poor,Poor,Poor,Good,Good,Good,Poor,Poor,Really Poor,3,More studios need to emerge to provide more jobs. These industries need better power supply and funding opportunities to actually emerge. ,,,,,,,
"Yes, I/we have developed game(s)",West Africa,"Lagos, Nigeria",Mobile,Unity,Entertainment Games,Indie/solo developer,,,,,,,,,,Male,25 - 34,Less than a year,"No, I develop games in my spare time",,1 - 5,"Development/Programming, Game Design, UI/UX, Narrative","No, I don't",Work for hire as a freelancer,"Zero, I earn all my income from my country of residence",No,,,No,,,"No, I haven't",,Critical,Very Important,Critical,Critical,Very Important,Very Important,Critical,Critical,Very Important,Important,Poor,Good,Really Poor,Poor,Poor,Good,Poor,Poor,Poor,Really Poor,3,"Access to training, affordable Internet services and steady power supply.",,,,,,,
"Yes, I/we have developed game(s)",Southern Africa,"Cape Town, South Africa",PC,Twine,Entertainment Games,Hobby/Part time game developer,,,,,,,,,,Female,45+,2 - 5 years,"No, I develop games in my spare time",,10 - 20,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Audio, QA","No, I don't",Freelancer but not in games,5 - 25%,Not applicable,,,No,,,"No, I haven't",,Critical,Critical,Critical,Important,Important,Unimportant,Important,Unimportant,Very Important,Important,Really Poor,Good,Really Poor,Poor,Good,Good,Good,Good,Poor,Poor,2,This is too broad of a question to answer. How long is a piece of string?,,,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nairobi, Kenya",Mobile,Unity,"Entertainment Games, Corporate/Training Games",Game studio,2 - 5 years,5 - 10,5 - 25%,Male 0.85.  Female 0.15,10 - 20,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Animation",$100k - $250k,Revenue from games,5 - 25%,,,,,,,,,,,No,,Less than $10K,Yes,Yes,Crazy Labs Hypercasual Games Accelerator ,"Yes, I have",,Critical,Important,Important,Unimportant,Unimportant,Important,Important,Unimportant,Unimportant,Unimportant,Good,Very Good,Very Good,Poor,Poor,Very Good,Good,Very Good,Very Good,Poor,4,Distribution - I think developers exist who can make really cool games. However getting the game in the hands of players is a far more complex journey which only works if undertaken from code line 1. ,,,,,,,
"No, I/we have not yet developed a game",Southern Africa,"Cape Town, South Africa",Mobile,aws,"Entertainment Games, Serious/Educational Games",Hobby/Part time game developer,,,,,,,,,,Male,45+,Less than a year,"No, I develop games in my spare time",,None,AR/VR,"No, I don't",free,"Zero, I earn all my income from my country of residence",Not applicable,Crowd funding,Less than $10K,No,No,,"Yes, I have",,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Poor,Very Good,Good,Good,Good,Good,Good,Good,Good,Really Poor,4,aws,,,,,,,
"Yes, I/we have developed game(s)",East Africa,Rwanda,"Mobile, PC, Console, ARVR, Switch, Steam Deck","Proprietary Engine, Unreal Engine","Entertainment Games, Serious/Educational Games, Kids Games, Corporate/Training Games, Narrative Driven Games, Fantasy, Fiction",Game studio,2 - 5 years,5 - 10,25 - 50%," Male 60%, Female 40%",None,"Development/Programming, Art (2D/3D, Game Design, UI/UX, Narrative, Animation, QA, Localization, AR/VR, Engine  & Logic programming, AI Programming",$10k - $50k,"Building third party games, Revenue from games, Work for hire, Licensing games to 3rd parties, Enterprise Gamification services, Localization, Co-Production, ...",75 - 100%,,,,,,,,,,,Yes,"Investors, Grant funding from international agency, Strategic partnerships, Resource funding, Non-equity corporate financial assistance",$50k - $100k,Yes but sadly none related to Gaming specifically :( .... Long way to go,No,Way too many cant list them all (we lost count over the years until we stopped wasting our time and focused on self sustainability.... Sad but true),"Yes, I have","All the major ones on a yearly basis (GDC, PGC, Gamescom, Devcom, HGC, WN, Reboot Develop, IndieWay, IndieGameBusiness, GamesBeat summit, AGW,...)",Important,Very Important,Critical,Critical,Very Important,Critical,Critical,Important,Very Important,Critical,Good,Good,Good,Really Poor,Poor,Poor,Good,Good,Good,Poor,3,"Access to finance and scaling opportunities like in other sectors of the startup ecosystem (such as finTech, Healthtech, Agritech, ...)","Industry events are not yet to global standard, Very few actual companies in the sector ",,,,,,
"Yes, I/we have developed game(s)",West Africa,"Dakar, Senegal","Mobile, PC",Unity,Serious/Educational Games,Game studio,Over 10 years,1 - 5,5 - 25%,"Male 75%, Female 25%",1 - 5,Game Design,Less than $1k,We no longer selling them since many years,"Zero, all our revenue comes from our country of operation",,,,,,,,,,,Yes,Grant funding from international agency,Less than $10K,Yes,No,Tekki 48 CTIC,"No, I haven't",,Critical,Critical,Critical,Very Important,Important,Important,Very Important,Important,Important,Critical,Poor,Poor,Really Poor,Good,Poor,Good,Poor,Good,Very Good,Really Poor,3,More government help and funding,"My game studio still exist, but we're not very active because of a lack of means. But we're known as the very first game studio in West Africa",,,,,,
"Yes, I/we have developed game(s)",East Africa,"Nairobi, Kenya",Mobile,Unity,"Entertainment Games, Serious/Educational Games",Game studio,2 - 5 years,1 - 5,5 - 25%,Female 25%,1 - 5,"Development/Programming, Game Design, Audio, Animation, Vfx",$10k - $50k,"Revenue from games, Work for hire",75 - 100%,,,,,,,,,,,Yes,"Investors, Grant funding from international agency",$50k - $100k,Yes,,"Africa Game Co-Production Marketplace by SpeilFabrique , Founders Institute ","Yes, I have","Paris Games week , London Games Week , Gamescom ",Critical,Important,Critical,Critical,Very Important,Important,Very Important,Critical,Critical,Important,Poor,Poor,Poor,Poor,Poor,Good,Poor,Good,Good,Really Poor,4,"Training of New Talent ,  Acces to Funding , Monetisation infrastructure , Market Data .",,,,,,,
